"　　　　車站
日期",松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2020/4/1,"3,892 ","12,565 ","37,543 ","37,066 ","23,355 ","12,627 ","10,195 ","3,373 ","2,642 ","12,795 ","1,802 ","4,139 ","3,625 ","8,387 ","7,880 ","15,498 ","15,608 ","4,923 ","7,804 ","2,491 ","6,860 ","7,887 ","4,407 ","24,491 ","3,118 ","9,495 ","10,677 ","14,664 ","20,298 ","13,479 ","8,305 ","21,202 ","14,218 ","28,138 ","21,680 ","8,435 ","32,289 ","23,400 ","23,049 ","18,239 ","21,006 ","134,316 ","34,209 ","18,022 ","20,768 ","22,900 ","19,230 ","20,789 ","20,064 ","11,138 ","26,222 ","5,935 ","6,227 ","16,865 ","3,612 ","3,185 ","3,208 ","10,764 ","8,397 ","9,329 ","24,744 ","8,390 ","12,231 ","6,683 ","20,887 ","21,053 ","23,810 ","36,555 ","33,988 ","23,600 ","21,406 ","45,000 ","21,210 ","27,459 ","30,520 ","18,656 ","54,575 ","19,111 ","14,255 ","13,646 ","18,521 ","11,053 ","19,838 ","16,684 ","6,275 ","9,842 ","35,380 ","21,093 ","21,797 ","20,194 ","7,556 ","10,168 ","4,910 ","4,734 ","5,464 ","9,328 ","8,563 ","10,344 ","15,255 ","26,169 ","19,952 ","12,364 ","11,557 ","11,467 ","11,249 ","11,026 ","9,496 ","8,505 ",733 ,"2,102 ","2,971 ","3,824 ","1,542 ","2,340 ","2,175 ","6,870 ","1,915 ","2,965 ","2,916 "
2020/4/2,"2,103 ","4,995 ","12,716 ","25,869 ","8,425 ","4,879 ","4,667 ","2,067 ","1,310 ","5,363 ",914 ,"1,789 ","3,210 ","3,131 ","4,983 ","3,365 ","3,852 ","2,053 ","4,484 ","1,728 ","3,190 ","3,374 ","1,297 ","9,547 ","2,902 ","6,423 ","5,387 ","7,573 ","9,475 ","7,704 ","4,694 ","11,773 ","7,943 ","13,268 ","9,550 ","2,129 ","17,646 ","12,217 ","11,829 ","9,871 ","5,463 ","88,924 ","24,226 ","8,496 ","9,233 ","12,716 ","12,098 ","12,218 ","11,143 ","5,975 ","12,779 ","3,293 ","3,209 ","8,939 ","3,144 ","1,784 ","1,482 ","4,578 ","4,849 ","5,507 ","15,903 ","3,839 ","5,944 ","3,642 ","10,207 ","10,204 ","14,096 ","22,162 ","17,687 ","12,180 ","14,302 ","31,955 ","6,604 ","14,582 ","19,464 ","9,840 ","31,927 ","8,836 ","8,098 ","5,314 ","10,246 ","5,079 ","10,216 ","7,538 ","3,348 ","5,209 ","10,823 ","7,681 ","8,322 ","9,226 ","4,192 ","4,905 ","2,804 ","1,357 ","3,027 ","4,502 ","5,485 ","5,797 ","7,782 ","10,311 ","11,306 ","6,091 ","5,523 ","6,017 ","5,874 ","6,244 ","4,204 ","4,362 ",347 ,"1,388 ","1,697 ","2,671 ",727 ,763 ,"1,156 ","5,454 ","1,343 ","1,841 ","1,478 "
2020/4/3,"1,523 ","4,692 ","11,493 ","24,777 ","7,905 ","4,674 ","4,548 ","2,201 ","1,283 ","5,214 ",847 ,"1,850 ","4,652 ","2,955 ","4,762 ","3,238 ","3,578 ","1,978 ","4,584 ","2,095 ","2,983 ","3,230 ","1,234 ","9,061 ","3,009 ","6,845 ","5,416 ","7,266 ","8,784 ","7,848 ","4,805 ","11,640 ","7,370 ","12,431 ","9,433 ","2,139 ","17,182 ","11,653 ","11,255 ","9,675 ","4,716 ","65,544 ","23,278 ","8,114 ","8,776 ","12,857 ","12,866 ","12,699 ","10,996 ","4,764 ","12,553 ","3,337 ","3,115 ","9,346 ","3,198 ","1,726 ","1,474 ","5,074 ","4,790 ","5,749 ","17,710 ","3,545 ","5,608 ","3,508 ","9,704 ","7,760 ","13,079 ","19,317 ","16,774 ","11,695 ","14,224 ","30,986 ","5,579 ","13,958 ","18,331 ","9,202 ","29,536 ","8,714 ","7,606 ","5,182 ","8,318 ","5,413 ","9,820 ","7,095 ","3,815 ","4,990 ","9,760 ","7,223 ","7,527 ","8,327 ","4,008 ","4,666 ","2,718 ","1,286 ","3,038 ","4,302 ","5,327 ","5,569 ","7,492 ","9,994 ","11,335 ","6,001 ","5,552 ","5,889 ","5,397 ","6,071 ","4,191 ","4,161 ",326 ,"1,454 ","1,712 ","2,622 ",724 ,646 ,"1,117 ","4,305 ","1,305 ","1,749 ","1,361 "
2020/4/4,"1,104 ","4,230 ","10,166 ","21,361 ","7,674 ","4,259 ","4,123 ","2,227 ","1,245 ","4,169 ",776 ,"1,469 ","3,539 ","2,659 ","4,314 ","2,688 ","3,448 ","1,859 ","4,077 ","1,725 ","2,672 ","3,194 ","1,124 ","8,176 ","2,723 ","6,054 ","4,931 ","6,831 ","7,903 ","7,415 ","4,589 ","10,883 ","7,120 ","11,487 ","7,659 ","1,904 ","16,267 ","11,005 ","10,405 ","9,078 ","4,096 ","51,400 ","20,726 ","7,015 ","8,091 ","11,871 ","11,673 ","11,058 ","10,338 ","4,339 ","11,238 ","3,220 ","2,744 ","8,440 ","2,641 ","1,649 ",863 ,"4,349 ","4,433 ","5,237 ","14,899 ","3,336 ","5,053 ","3,207 ","9,198 ","7,202 ","11,965 ","16,065 ","15,454 ","10,668 ","12,874 ","28,859 ","5,515 ","12,433 ","15,721 ","8,227 ","25,577 ","8,050 ","7,165 ","4,618 ","6,864 ","4,536 ","8,792 ","6,722 ","4,621 ","4,235 ","8,244 ","6,464 ","7,051 ","7,215 ","3,751 ","4,246 ","2,328 ","1,215 ","2,812 ","3,937 ","4,863 ","4,761 ","6,837 ","8,529 ","10,174 ","5,478 ","5,075 ","5,221 ","5,136 ","5,590 ","3,822 ","3,935 ",338 ,"1,310 ","1,660 ","2,532 ",642 ,567 ,"1,050 ","3,488 ","1,171 ","1,698 ","1,243 "
2020/4/5,"1,502 ","4,401 ","10,193 ","20,425 ","7,268 ","4,941 ","4,382 ","2,191 ","1,328 ","5,755 ",765 ,"1,618 ","3,281 ","3,477 ","4,422 ","3,423 ","3,782 ","2,303 ","4,474 ","1,749 ","3,098 ","3,447 ","1,283 ","8,054 ","2,424 ","5,736 ","5,092 ","7,290 ","8,790 ","8,250 ","5,077 ","13,368 ","7,801 ","12,478 ","10,353 ","2,072 ","17,347 ","11,423 ","10,978 ","9,421 ","4,434 ","60,994 ","19,555 ","7,027 ","9,006 ","11,827 ","13,361 ","12,041 ","10,281 ","4,455 ","12,187 ","3,278 ","2,613 ","9,445 ","2,574 ","1,609 ",893 ,"4,797 ","4,477 ","6,034 ","18,754 ","3,354 ","4,950 ","3,100 ","9,230 ","7,439 ","11,795 ","17,513 ","16,094 ","10,754 ","12,263 ","26,782 ","5,763 ","12,880 ","14,092 ","7,940 ","25,137 ","8,674 ","7,435 ","5,262 ","7,486 ","4,772 ","8,982 ","6,470 ","4,729 ","4,011 ","8,224 ","6,543 ","7,122 ","6,755 ","5,613 ","4,023 ","2,456 ","1,261 ","2,801 ","4,085 ","4,855 ","4,880 ","6,839 ","8,978 ","9,877 ","5,233 ","4,810 ","5,130 ","5,169 ","5,703 ","4,014 ","4,163 ",319 ,"1,466 ","1,829 ","2,631 ",578 ,591 ,982 ,"4,089 ","1,189 ","1,717 ","1,378 "
2020/4/6,"3,355 ","11,857 ","34,910 ","30,367 ","21,899 ","12,137 ","9,899 ","3,405 ","2,632 ","12,705 ","1,790 ","4,247 ","4,180 ","8,520 ","7,749 ","16,540 ","15,011 ","4,836 ","7,462 ","2,385 ","7,801 ","7,321 ","4,174 ","23,364 ","2,805 ","8,765 ","10,311 ","14,129 ","19,660 ","14,619 ","8,389 ","20,925 ","13,446 ","25,509 ","19,399 ","9,741 ","31,399 ","22,553 ","22,281 ","17,311 ","19,788 ","84,682 ","27,182 ","16,797 ","19,032 ","20,799 ","20,407 ","22,295 ","18,291 ","10,824 ","25,139 ","5,736 ","6,146 ","16,208 ","3,258 ","3,002 ","2,270 ","10,711 ","8,114 ","9,431 ","25,870 ","7,862 ","10,369 ","6,309 ","19,492 ","20,549 ","21,579 ","31,420 ","34,360 ","22,596 ","20,114 ","37,696 ","15,823 ","24,536 ","25,089 ","16,013 ","46,658 ","17,702 ","13,643 ","13,033 ","14,661 ","10,082 ","18,134 ","15,559 ","5,947 ","8,979 ","32,287 ","19,722 ","20,544 ","18,668 ","13,511 ","9,549 ","4,615 ","4,572 ","5,153 ","9,302 ","8,063 ","9,638 ","14,304 ","24,122 ","18,035 ","12,050 ","11,101 ","11,036 ","10,906 ","10,617 ","9,351 ","8,212 ",700 ,"2,023 ","2,985 ","3,524 ","1,427 ","2,225 ","2,140 ","5,092 ","1,899 ","2,585 ","2,741 "
2020/4/7,"3,227 ","11,778 ","35,410 ","31,568 ","21,951 ","11,814 ","9,705 ","3,202 ","2,595 ","12,575 ","1,779 ","4,136 ","3,468 ","8,289 ","7,633 ","16,584 ","15,129 ","4,713 ","7,171 ","2,369 ","7,586 ","7,473 ","4,132 ","23,041 ","2,603 ","8,751 ","10,267 ","13,766 ","19,549 ","14,708 ","8,142 ","19,554 ","13,216 ","26,074 ","20,378 ","10,232 ","30,958 ","22,401 ","22,135 ","17,761 ","19,790 ","81,472 ","27,770 ","16,725 ","19,817 ","21,328 ","22,116 ","21,971 ","18,731 ","10,552 ","24,569 ","5,622 ","6,139 ","16,336 ","3,177 ","3,103 ","3,170 ","11,476 ","8,129 ","9,046 ","24,503 ","7,801 ","10,529 ","6,263 ","19,479 ","20,592 ","21,934 ","30,649 ","34,242 ","22,524 ","20,673 ","38,534 ","19,440 ","24,510 ","25,537 ","16,043 ","45,336 ","18,060 ","13,242 ","13,091 ","14,337 ","9,724 ","17,726 ","15,659 ","5,949 ","9,099 ","32,581 ","19,728 ","20,350 ","19,064 ","13,130 ","9,684 ","4,647 ","4,554 ","5,272 ","9,290 ","7,966 ","9,594 ","14,477 ","24,807 ","18,591 ","11,979 ","11,044 ","11,001 ","10,796 ","10,650 ","9,619 ","8,283 ",749 ,"1,818 ","2,844 ","3,417 ","1,435 ","2,265 ","2,079 ","5,106 ","1,956 ","2,747 ","2,709 "
2020/4/8,"3,014 ","11,995 ","35,312 ","31,457 ","22,193 ","11,779 ","9,818 ","3,134 ","2,662 ","12,609 ","1,740 ","4,231 ","3,673 ","8,510 ","7,846 ","16,422 ","14,993 ","4,817 ","7,340 ","2,453 ","7,532 ","7,446 ","3,979 ","23,070 ","2,684 ","8,950 ","10,374 ","13,779 ","19,462 ","14,385 ","8,021 ","19,746 ","13,303 ","26,086 ","20,320 ","9,886 ","31,064 ","22,357 ","22,222 ","17,784 ","19,493 ","82,117 ","28,884 ","16,741 ","19,692 ","21,286 ","22,630 ","21,985 ","19,124 ","10,632 ","25,087 ","5,684 ","6,224 ","16,738 ","3,301 ","3,060 ","3,176 ","11,500 ","8,267 ","9,249 ","24,606 ","7,874 ","10,618 ","6,405 ","19,922 ","20,487 ","21,907 ","30,549 ","34,151 ","22,547 ","20,553 ","39,373 ","19,723 ","24,808 ","25,910 ","16,661 ","45,236 ","17,791 ","13,390 ","13,129 ","14,313 ","9,882 ","17,916 ","15,709 ","6,209 ","9,111 ","32,110 ","19,926 ","20,604 ","18,961 ","12,600 ","9,752 ","4,719 ","4,524 ","5,295 ","9,319 ","7,991 ","9,812 ","14,338 ","24,266 ","19,027 ","12,089 ","10,955 ","10,890 ","10,851 ","10,558 ","9,745 ","8,273 ",740 ,"1,885 ","2,800 ","3,318 ","1,461 ","2,198 ","2,118 ","5,056 ","1,937 ","2,616 ","2,749 "
2020/4/9,"3,060 ","12,049 ","35,028 ","31,617 ","22,216 ","11,765 ","9,649 ","3,243 ","2,680 ","12,608 ","1,693 ","4,230 ","3,623 ","8,520 ","7,914 ","16,389 ","14,873 ","4,814 ","7,426 ","2,570 ","7,509 ","7,373 ","4,068 ","23,007 ","2,744 ","9,104 ","10,360 ","13,742 ","19,431 ","14,639 ","8,019 ","19,665 ","13,304 ","25,644 ","20,521 ","9,913 ","30,912 ","22,544 ","21,783 ","17,657 ","19,561 ","83,171 ","29,228 ","16,832 ","19,934 ","21,524 ","22,583 ","22,059 ","19,113 ","10,530 ","25,295 ","5,595 ","6,356 ","16,463 ","3,307 ","3,154 ","3,073 ","11,438 ","8,222 ","9,153 ","25,053 ","7,876 ","10,704 ","6,335 ","19,671 ","20,540 ","21,935 ","30,590 ","33,974 ","22,486 ","20,290 ","38,783 ","19,523 ","24,951 ","26,198 ","16,423 ","46,585 ","17,812 ","13,374 ","12,979 ","14,456 ","10,089 ","18,116 ","15,768 ","6,092 ","9,007 ","32,222 ","19,690 ","20,534 ","18,718 ","12,532 ","9,639 ","4,732 ","4,565 ","5,415 ","9,154 ","7,897 ","9,722 ","13,942 ","24,399 ","18,936 ","12,053 ","11,130 ","10,856 ","10,964 ","10,562 ","9,485 ","8,320 ",729 ,"1,919 ","2,765 ","3,400 ","1,430 ","2,220 ","2,101 ","5,206 ","1,900 ","2,631 ","2,672 "
2020/4/10,"3,276 ","12,508 ","36,895 ","36,411 ","23,369 ","12,142 ","10,231 ","3,404 ","2,704 ","12,907 ","1,863 ","4,311 ","4,295 ","8,424 ","8,685 ","16,529 ","15,192 ","4,961 ","7,928 ","2,882 ","7,758 ","7,669 ","4,232 ","23,895 ","3,115 ","10,217 ","10,706 ","14,479 ","20,517 ","15,196 ","8,490 ","21,506 ","14,572 ","27,110 ","21,772 ","10,223 ","32,582 ","23,889 ","23,169 ","18,153 ","20,355 ","106,827 ","34,590 ","17,937 ","20,669 ","23,940 ","24,325 ","23,583 ","20,674 ","10,850 ","26,545 ","5,972 ","6,496 ","17,696 ","3,606 ","3,268 ","3,189 ","11,742 ","8,824 ","9,693 ","27,328 ","8,372 ","12,140 ","6,949 ","20,456 ","20,820 ","24,032 ","34,255 ","35,912 ","23,459 ","21,746 ","45,538 ","19,841 ","27,586 ","30,276 ","18,750 ","53,980 ","18,835 ","14,202 ","13,384 ","16,665 ","10,864 ","19,807 ","16,905 ","6,828 ","9,939 ","33,637 ","20,598 ","20,988 ","19,854 ","11,253 ","10,279 ","5,033 ","4,615 ","5,777 ","9,449 ","8,705 ","10,246 ","14,710 ","25,638 ","20,681 ","12,506 ","11,611 ","11,529 ","11,127 ","10,841 ","9,857 ","8,767 ",785 ,"2,037 ","2,904 ","3,636 ","1,588 ","2,206 ","2,214 ","6,307 ","2,051 ","2,922 ","2,902 "
